nickevents.0.desc;I am known for my good personality and my great skill.  Throughout the realm, there are many who call me [This.GetTitledFirstName]...;Je suis connu pour ma bonne personalité et mes capacités. Dans tout le royaume, on m'appelle [This.GetTitledFirstName]...;I known for my good personality and my great skill.  Throughout the realm, there are many who call me [This.GetTitledFirstName]...;;I known for my good personality and my great skill.  Throughout the realm, there are many who call me [This.GetTitledFirstName]...;;;;;;;;;x;;
nickevents.0.a;...the Good!;...le Bon!;...the Good!;;...the Good!;;;;;;;;;x;;
nickevents.0.b;...the Just!;...le Juste!;...the Just!;;...the Just!;;;;;;;;;x;;
nickevents.0.c;...the Able!;...l'Habile!;...the Able!;;...the Able!;;;;;;;;;x;;
nickevents.0.d;...the Wise!;...le Sage!;...the Wise!;;...the Wise!;;;;;;;;;x;;
nickevents.1.desc;I may not be history's greatest leader, but those who know me generally like me.  I am often refered to as [This.GetTitledFirstName]...;Je ne suis peut-être pas le plus grand meneur de l'histoire, mais ceux qui me connaissent m'aiment, généralement. On se réfere à moi comme [This.GetTitledFirstName]...;I may not be history's greatest leader, but those who know me generally like me.  I often refered to as [This.GetTitledFirstName]...;;I may not be history's greatest leader, but those who know me generally like me.  I often refered to as [This.GetTitledFirstName]...;;;;;;;;;x;;
nickevents.1.a;...the Gentle!;...le Doux!;...the Gentle!;;...the Gentle!;;;;;;;;;x;;
nickevents.1.b;...the Merry!;...le Joyeux!;...the Merry!;;...the Merry!;;;;;;;;;x;;
nickevents.1.c;...the Simple!;...le Simple!;...the Simple!;;...the Simple!;;;;;;;;;x;;
nickevents.1.d;...the Clueless?!;...l'Idiot?!;...the Clueless?!;;...the Clueless?!;;;;;;;;;x;;
